TF	Target	Experimentos
AT5G05550	AT4G02550	2/2
AT3G62420	AT4G02550	2/2
AT5G19790	AT4G02550	1/2
AT5G60130	AT4G02550	1/1
AT2G46270	AT4G02550	2/2
AT2G18380	AT4G02550	1/1
AT5G51190	AT4G02550	1/2
AT5G47390	AT4G02550	1/1
AT4G16750	AT4G02550	1/1
AT1G31140	AT4G02550	1/1
AT5G08520	AT4G02550	1/2
AT1G71450	AT4G02550	1/1
AT3G16280	AT4G02550	1/1
AT4G00250	AT4G02550	1/1
AT4G34590	AT4G02550	1/1
AT2G35530	AT4G02550	1/2
AT1G32150	AT4G02550	1/1
AT1G74840	AT4G02550	1/1
AT4G31060	AT4G02550	1/2
AT5G15830	AT4G02550	1/1
AT2G18160	AT4G02550	1/2
AT3G14180	AT4G02550	1/1
AT1G28470	AT4G02990	2/2
AT4G36740	AT4G02990	2/2
AT5G65310	AT4G02990	2/2
AT5G03790	AT4G02990	2/2
AT1G27730	AT4G02990	2/2
AT3G22830	AT4G02990	2/2
AT1G19000	AT4G02990	2/2
AT5G56840	AT4G02990	2/2
AT1G49010	AT4G02990	2/2
AT5G16820	AT4G02990	2/2
AT2G22540	AT4G02990	1/2
AT4G28500	AT4G02990	1/2
AT2G18550	AT4G02990	2/2
AT5G61620	AT4G02990	2/2
AT3G57920	AT4G02990	1/1
AT1G69780	AT4G02990	1/1
AT5G58900	AT4G02990	1/1
AT2G02820	AT4G02990	2/2
AT5G66700	AT4G02990	2/2
AT5G60130	AT4G02990	1/1
AT5G47390	AT4G02990	1/1
AT1G31140	AT4G02990	1/1
AT5G08520	AT4G02990	2/2
AT4G00250	AT4G02990	1/1
AT1G74840	AT4G02990	1/1
AT2G33550	AT4G02990	1/1
AT5G05790	AT4G02990	1/1
AT3G11280	AT4G02990	1/1
AT3G24120	AT4G04110	2/2
AT1G28470	AT4G04110	2/2
AT5G45580	AT4G04110	2/2
AT5G17300	AT4G04110	1/2
AT1G19000	AT4G04110	1/2
AT1G49010	AT4G04110	2/2
AT2G45410	AT4G04110	1/2
AT5G04410	AT4G04110	1/2
AT4G01280	AT4G04110	1/2
AT2G01060	AT4G04110	2/2
AT4G28500	AT4G04110	1/2
AT2G40260	AT4G04110	1/2
AT1G72740	AT4G04110	2/2
AT5G06100	AT4G04110	1/1
AT5G52660	AT4G04110	1/2
AT2G01940	AT4G04110	1/2
AT5G58900	AT4G04110	1/1
AT5G60130	AT4G04110	1/1
AT4G01540	AT4G04110	1/2
AT2G18380	AT4G04110	1/1
AT1G02230	AT4G04110	2/2
AT5G47390	AT4G04110	1/1
AT3G11440	AT4G04110	1/2
AT5G08520	AT4G04110	1/2
AT2G03500	AT4G04110	1/1
AT2G32460	AT4G04110	1/2
AT3G12730	AT4G04110	1/1
AT1G02250	AT4G04110	1/1
AT5G67580	AT4G04110	1/1
AT2G20400	AT4G04110	1/1
AT4G01550	AT4G04110	1/1
AT5G29000	AT4G04110	1/1
AT5G05790	AT4G04110	1/1
AT2G45480	AT4G04110	1/1
AT4G04890	AT4G04110	1/1
AT3G11280	AT4G04110	1/1
AT5G02460	AT4G05140	1/2
AT2G42200	AT4G05140	2/2
AT5G65410	AT4G05140	2/2
AT5G39760	AT4G05140	1/2
AT1G69010	AT4G05140	1/2
AT5G03790	AT4G05140	1/2
AT3G45610	AT4G05140	1/2
AT3G22830	AT4G05140	2/2
AT1G75240	AT4G05140	1/2
AT3G28920	AT4G05140	1/2
AT2G46590	AT4G05140	1/2
AT3G04030	AT4G05140	1/2
AT1G19850	AT4G05140	1/1
AT5G46350	AT4G05140	1/2
AT3G50060	AT4G05140	1/1
AT5G16820	AT4G05140	2/2
AT5G63260	AT4G05140	1/2
AT4G21080	AT4G05140	1/1
AT4G23550	AT4G05140	1/2
AT1G74650	AT4G05140	1/1
AT2G18350	AT4G05140	1/2
AT4G21040	AT4G05140	1/1
AT1G14687	AT4G05140	1/1
AT5G47390	AT4G05140	1/1
AT5G26170	AT4G05140	1/1
AT3G12130	AT4G05140	1/1
AT5G62000	AT4G05140	1/1
AT3G49530	AT4G05140	2/2
AT3G61150	AT4G05140	1/1
AT3G24520	AT4G05140	1/2
AT1G69180	AT4G05140	1/1
AT3G09735	AT4G05140	1/1
AT4G00730	AT4G05140	1/1
AT2G27300	AT4G05140	1/1
AT4G01550	AT4G05140	1/1
AT4G11660	AT4G05140	1/2
AT3G13810	AT4G05140	1/1
AT1G24250	AT4G05140	1/1
AT2G28810	AT4G07670	1/2
AT1G79580	AT4G07670	1/2
AT1G69010	AT4G07670	1/2
AT5G66940	AT4G07670	1/2
AT1G27730	AT4G07670	1/2
AT1G33240	AT4G07670	1/2
AT3G52440	AT4G07670	1/2
AT1G77200	AT4G07670	1/2
AT4G10350	AT4G07670	1/2
AT5G04410	AT4G07670	2/2
AT5G13180	AT4G07670	2/2
AT3G50060	AT4G07670	1/1
AT5G67190	AT4G07670	1/2
AT5G62940	AT4G07670	1/1
AT3G18400	AT4G07670	2/2
AT3G10480	AT4G07670	2/2
AT3G55370	AT4G07670	1/2
AT4G21080	AT4G07670	1/1
AT3G04060	AT4G07670	1/2
AT5G06100	AT4G07670	1/1
AT1G76890	AT4G07670	2/2
AT5G60130	AT4G07670	1/1
AT5G58850	AT4G07670	1/2
AT1G69570	AT4G07670	1/2
AT3G11440	AT4G07670	1/2
AT3G10500	AT4G07670	2/2
AT3G16280	AT4G07670	1/1
AT5G39610	AT4G07670	1/2
AT5G47660	AT4G07670	1/1
AT2G23290	AT4G07670	1/1
AT2G32460	AT4G07670	1/2
AT3G17730	AT4G07670	1/2
AT1G54330	AT4G07670	1/1
AT1G28370	AT4G07670	1/1
AT2G24430	AT4G07670	1/1
AT1G72010	AT4G07670	1/2
AT3G27785	AT4G07670	1/1
AT1G18330	AT4G11590	2/2
AT2G28810	AT4G11590	1/2
AT5G02460	AT4G11590	1/2
AT1G69010	AT4G11590	2/2
AT5G17300	AT4G11590	2/2
AT4G31800	AT4G11590	1/2
AT1G01060	AT4G11590	2/2
AT1G75240	AT4G11590	1/2
AT3G12250	AT4G11590	1/2
AT1G19000	AT4G11590	1/2
AT5G60850	AT4G11590	1/2
AT3G09600	AT4G11590	1/2
AT3G52440	AT4G11590	1/2
AT1G49010	AT4G11590	1/2
AT2G46590	AT4G11590	1/2
AT2G45410	AT4G11590	2/2
AT4G01280	AT4G11590	1/2
AT3G50060	AT4G11590	1/1
AT2G22540	AT4G11590	1/2
AT1G16490	AT4G11590	1/2
AT2G18550	AT4G11590	1/2
AT2G45420	AT4G11590	1/2
AT3G10113	AT4G11590	1/1
AT1G72740	AT4G11590	2/2
AT3G50410	AT4G11590	1/1
AT4G21080	AT4G11590	1/1
AT5G52660	AT4G11590	1/2
AT3G03200	AT4G11590	1/2
AT5G66700	AT4G11590	1/2
AT5G67300	AT4G11590	1/1
AT3G12130	AT4G11590	1/1
AT4G38000	AT4G11590	1/2
AT1G29160	AT4G11590	1/1
AT1G19790	AT4G11590	1/1
AT5G04390	AT4G11590	1/1
AT1G80840	AT4G11590	1/1
AT5G67580	AT4G11590	1/1
AT1G18330	AT4G12510	1/2
AT2G28810	AT4G12510	1/2
AT5G02460	AT4G12510	1/2
AT5G65310	AT4G12510	1/2
AT2G42200	AT4G12510	1/2
AT5G65410	AT4G12510	2/2
AT5G39760	AT4G12510	2/2
AT5G66940	AT4G12510	1/2
AT5G17300	AT4G12510	1/2
AT1G49480	AT4G12510	2/2
AT3G45610	AT4G12510	1/2
AT1G64620	AT4G12510	1/2
AT1G75240	AT4G12510	2/2
AT1G33240	AT4G12510	2/2
AT3G28920	AT4G12510	1/2
AT2G37590	AT4G12510	1/2
AT2G46590	AT4G12510	1/2
AT3G04030	AT4G12510	1/2
AT1G19850	AT4G12510	1/1
AT3G50060	AT4G12510	1/1
AT5G62940	AT4G12510	1/1
AT3G55370	AT4G12510	1/2
AT3G10113	AT4G12510	1/1
AT4G21080	AT4G12510	1/1
AT3G57920	AT4G12510	1/1
AT5G60130	AT4G12510	1/1
AT5G58850	AT4G12510	2/2
AT5G47370	AT4G12510	1/2
AT5G26170	AT4G12510	1/1
AT3G12130	AT4G12510	1/1
AT4G38000	AT4G12510	1/2
AT2G46680	AT4G12510	1/1
AT1G01720	AT4G12510	1/1
AT3G04070	AT4G12510	1/1
AT1G20910	AT4G12510	1/1
AT4G18770	AT4G12510	1/1
AT5G62470	AT4G12510	1/1
AT1G18330	AT4G12940	2/2
AT5G65310	AT4G12940	1/2
AT1G49480	AT4G12940	2/2
AT2G45410	AT4G12940	1/2
AT5G04410	AT4G12940	2/2
AT3G50060	AT4G12940	1/1
AT3G18400	AT4G12940	1/2
AT3G10480	AT4G12940	2/2
AT3G10113	AT4G12940	1/1
AT5G06100	AT4G12940	1/1
AT3G03200	AT4G12940	1/2
AT1G06850	AT4G12940	2/2
AT5G58900	AT4G12940	1/1
AT5G60130	AT4G12940	1/1
AT2G18380	AT4G12940	1/1
AT1G13260	AT4G12940	1/2
AT1G34190	AT4G12940	2/2
AT2G40620	AT4G12940	2/2
AT5G67300	AT4G12940	1/1
AT1G34180	AT4G12940	1/1
AT3G11440	AT4G12940	2/2
AT3G10500	AT4G12940	2/2
AT2G23290	AT4G12940	1/1
AT2G32460	AT4G12940	2/2
AT2G22430	AT4G12940	1/1
AT4G37260	AT4G12940	1/1
AT5G64060	AT4G12940	2/2
AT1G32870	AT4G12940	1/1
AT2G26960	AT4G12940	1/1
AT1G08010	AT4G12940	1/1
AT1G43700	AT4G12940	1/1
AT3G60530	AT4G12940	1/1
AT1G18330	AT4G13320	1/2
AT1G28470	AT4G13320	2/2
AT2G42200	AT4G13320	1/2
AT5G65410	AT4G13320	2/2
AT5G39760	AT4G13320	2/2
AT1G49480	AT4G13320	2/2
AT5G13080	AT4G13320	2/2
AT1G75240	AT4G13320	1/2
AT1G33240	AT4G13320	2/2
AT2G23320	AT4G13320	1/2
AT3G15270	AT4G13320	2/2
AT2G20110	AT4G13320	1/2
AT1G29280	AT4G13320	1/2
AT4G28500	AT4G13320	1/2
AT4G14770	AT4G13320	1/2
AT1G72740	AT4G13320	1/2
AT3G22760	AT4G13320	1/2
AT2G33710	AT4G13320	1/2
AT5G06100	AT4G13320	1/1
AT3G20310	AT4G13320	1/2
AT2G01940	AT4G13320	1/2
AT2G18350	AT4G13320	1/2
AT3G57920	AT4G13320	1/1
AT5G19790	AT4G13320	1/2
AT2G18380	AT4G13320	1/1
AT1G34190	AT4G13320	1/2
AT5G47370	AT4G13320	1/2
AT2G47070	AT4G13320	1/2
AT5G47660	AT4G13320	1/1
AT2G32460	AT4G13320	1/2
AT4G01680	AT4G13320	1/1
AT1G43160	AT4G13320	1/2
AT1G20910	AT4G13320	1/1
AT1G53910	AT4G13320	1/1
AT3G18990	AT4G13320	1/1
AT4G29230	AT4G13320	1/1
AT3G24120	AT4G14800	2/2
AT1G27730	AT4G14800	2/2
AT4G31800	AT4G14800	1/2
AT3G50260	AT4G14800	1/2
AT1G33240	AT4G14800	2/2
AT1G06280	AT4G14800	1/2
AT2G31230	AT4G14800	2/2
AT5G04410	AT4G14800	2/2
AT3G04030	AT4G14800	1/2
AT2G22540	AT4G14800	2/2
AT2G40260	AT4G14800	1/2
AT1G72740	AT4G14800	1/2
AT4G37180	AT4G14800	1/2
AT3G20310	AT4G14800	2/2
AT3G12720	AT4G14800	1/1
AT1G76890	AT4G14800	1/2
AT3G15210	AT4G14800	2/2
AT2G18380	AT4G14800	1/1
AT5G51190	AT4G14800	1/2
AT1G53170	AT4G14800	2/2
AT3G10500	AT4G14800	2/2
AT1G71450	AT4G14800	1/1
AT5G64750	AT4G14800	1/2
AT2G03500	AT4G14800	1/1
AT3G60580	AT4G14800	1/1
AT1G28160	AT4G14800	1/2
AT2G44840	AT4G14800	1/1
AT5G04390	AT4G14800	1/1
AT4G34410	AT4G14800	1/2
AT2G33550	AT4G14800	1/1
AT1G28370	AT4G14800	1/1
AT1G03800	AT4G14800	1/1
AT5G18450	AT4G14800	1/1
AT1G18330	AT4G16420	2/2
AT2G28810	AT4G16420	1/2
AT5G02460	AT4G16420	2/2
AT5G65310	AT4G16420	1/2
AT2G42200	AT4G16420	2/2
AT1G69010	AT4G16420	1/2
AT5G17300	AT4G16420	1/2
AT1G49480	AT4G16420	2/2
AT3G45610	AT4G16420	2/2
AT1G64620	AT4G16420	1/2
AT1G01060	AT4G16420	2/2
AT3G09600	AT4G16420	2/2
AT2G37590	AT4G16420	1/2
AT3G15270	AT4G16420	1/2
AT4G17980	AT4G16420	1/2
AT2G20110	AT4G16420	1/2
AT3G47500	AT4G16420	1/2
AT5G62940	AT4G16420	1/1
AT4G14770	AT4G16420	1/2
AT3G10113	AT4G16420	1/1
AT3G22760	AT4G16420	1/2
AT2G33710	AT4G16420	1/2
AT3G50410	AT4G16420	1/1
AT5G63260	AT4G16420	1/2
AT5G06100	AT4G16420	1/1
AT5G52660	AT4G16420	1/2
AT3G57920	AT4G16420	1/1
AT1G06850	AT4G16420	1/2
AT1G13260	AT4G16420	1/2
AT2G40620	AT4G16420	1/2
AT2G47070	AT4G16420	1/2
AT5G64750	AT4G16420	1/2
AT3G12130	AT4G16420	1/1
AT2G46680	AT4G16420	1/1
AT1G20910	AT4G16420	1/1
AT1G53910	AT4G16420	1/1
AT2G28810	AT4G17760	1/2
AT2G42200	AT4G17760	2/2
AT1G27730	AT4G17760	2/2
AT3G45610	AT4G17760	2/2
AT5G51990	AT4G17760	2/2
AT1G06280	AT4G17760	1/2
AT1G77200	AT4G17760	2/2
AT3G15270	AT4G17760	1/2
AT2G01060	AT4G17760	1/2
AT5G05550	AT4G17760	2/2
AT5G63260	AT4G17760	1/2
AT4G25490	AT4G17760	1/2
AT1G12630	AT4G17760	2/2
AT3G57920	AT4G17760	1/1
AT1G06850	AT4G17760	2/2
AT2G01930	AT4G17760	1/2
AT5G19790	AT4G17760	1/2
AT2G40620	AT4G17760	1/2
AT5G47390	AT4G17760	1/1
AT4G16750	AT4G17760	1/1
AT4G25470	AT4G17760	2/2
AT5G52020	AT4G17760	2/2
AT1G71450	AT4G17760	1/1
AT3G16280	AT4G17760	1/1
AT2G03500	AT4G17760	1/1
AT1G68670	AT4G17760	1/2
AT1G51700	AT4G17760	1/1
AT3G60580	AT4G17760	1/1
AT2G31220	AT4G17760	1/2
AT5G04390	AT4G17760	1/1
AT3G60490	AT4G17760	1/1
AT3G14180	AT4G17760	1/1
AT3G26620	AT4G17760	1/1
AT3G24120	AT4G18720	1/2
AT1G18330	AT4G18720	2/2
AT2G28810	AT4G18720	2/2
AT5G45580	AT4G18720	2/2
AT5G02460	AT4G18720	1/2
AT5G66940	AT4G18720	2/2
AT1G49480	AT4G18720	2/2
AT3G45610	AT4G18720	1/2
AT3G22830	AT4G18720	1/2
AT3G15270	AT4G18720	1/2
AT2G45410	AT4G18720	1/2
AT2G20110	AT4G18720	2/2
AT4G01280	AT4G18720	1/2
AT2G01060	AT4G18720	1/2
AT5G16820	AT4G18720	2/2
AT5G62940	AT4G18720	1/1
AT1G16490	AT4G18720	2/2
AT4G14770	AT4G18720	1/2
AT2G45420	AT4G18720	1/2
AT3G55370	AT4G18720	1/2
AT3G10113	AT4G18720	1/1
AT1G72740	AT4G18720	1/2
AT3G22760	AT4G18720	1/2
AT1G08320	AT4G18720	1/2
AT4G37180	AT4G18720	1/2
AT5G60130	AT4G18720	1/1
AT1G14687	AT4G18720	1/1
AT3G02940	AT4G18720	1/2
AT3G08500	AT4G18720	1/1
AT1G69570	AT4G18720	1/2
AT4G26030	AT4G18720	1/1
AT3G04070	AT4G18720	1/1
AT4G38170	AT4G18720	1/2
AT1G80840	AT4G18720	1/1
AT3G18990	AT4G18720	1/1
AT1G28470	AT4G22666	2/2
AT5G65410	AT4G22666	1/2
AT4G01250	AT4G22666	2/2
AT1G49480	AT4G22666	1/2
AT3G22830	AT4G22666	1/2
AT1G33240	AT4G22666	1/2
AT5G56840	AT4G22666	1/2
AT2G23320	AT4G22666	1/2
AT1G49010	AT4G22666	1/2
AT3G28920	AT4G22666	1/2
AT4G01280	AT4G22666	1/2
AT5G46350	AT4G22666	1/2
AT3G50060	AT4G22666	1/1
AT1G77920	AT4G22666	1/2
AT5G52830	AT4G22666	1/2
AT4G28500	AT4G22666	1/2
AT2G40260	AT4G22666	1/2
AT5G61620	AT4G22666	1/2
AT5G06100	AT4G22666	1/1
AT4G23550	AT4G22666	1/2
AT5G52660	AT4G22666	1/2
AT3G62420	AT4G22666	1/2
AT3G12720	AT4G22666	1/1
AT1G06850	AT4G22666	1/2
AT5G58900	AT4G22666	1/1
AT5G19790	AT4G22666	1/2
AT5G58850	AT4G22666	2/2
AT1G14687	AT4G22666	1/1
AT2G40620	AT4G22666	1/2
AT5G47390	AT4G22666	1/1
AT2G47070	AT4G22666	1/2
AT4G18170	AT4G22666	1/1
AT2G23290	AT4G22666	1/1
AT2G32460	AT4G22666	1/2
AT3G61150	AT4G22666	1/1
AT4G34590	AT4G22666	1/1
AT1G69180	AT4G22666	1/1
AT4G37260	AT4G22666	1/1
AT4G00730	AT4G22666	1/1
AT4G18770	AT4G22666	1/1
AT5G02460	AT4G24940	1/2
AT4G01250	AT4G24940	2/2
AT1G49480	AT4G24940	1/2
AT5G13080	AT4G24940	2/2
AT1G33240	AT4G24940	2/2
AT2G23320	AT4G24940	1/2
AT2G20110	AT4G24940	1/2
AT5G13180	AT4G24940	2/2
AT1G19850	AT4G24940	1/1
AT5G46350	AT4G24940	1/2
AT1G29280	AT4G24940	1/2
AT2G30250	AT4G24940	2/2
AT5G52830	AT4G24940	1/2
AT4G14770	AT4G24940	1/2
AT3G18400	AT4G24940	2/2
AT5G41570	AT4G24940	2/2
AT3G22760	AT4G24940	1/2
AT3G04060	AT4G24940	2/2
AT2G01930	AT4G24940	2/2
AT1G76890	AT4G24940	2/2
AT5G60130	AT4G24940	1/1
AT4G18170	AT4G24940	1/1
AT5G62000	AT4G24940	1/1
AT5G39610	AT4G24940	1/2
AT3G56400	AT4G24940	1/1
AT3G04070	AT4G24940	1/1
AT3G15500	AT4G24940	1/1
AT4G38170	AT4G24940	1/2
AT1G69490	AT4G24940	1/2
AT2G43000	AT4G24940	1/1
AT2G38470	AT4G24940	1/1
AT5G07680	AT4G24940	1/1
AT3G20770	AT4G24940	1/1
AT2G28810	AT4G25710	1/2
AT1G69010	AT4G25710	2/2
AT3G50260	AT4G25710	1/2
AT2G23320	AT4G25710	1/2
AT3G52440	AT4G25710	1/2
AT2G31230	AT4G25710	1/2
AT1G77200	AT4G25710	1/2
AT2G37590	AT4G25710	1/2
AT1G19210	AT4G25710	1/2
AT5G46350	AT4G25710	1/2
AT1G29280	AT4G25710	1/2
AT1G77920	AT4G25710	1/2
AT1G16490	AT4G25710	1/2
AT5G05550	AT4G25710	1/2
AT5G63260	AT4G25710	1/2
AT1G74650	AT4G25710	1/1
AT3G12720	AT4G25710	1/1
AT1G09540	AT4G25710	2/2
AT2G02820	AT4G25710	2/2
AT5G51190	AT4G25710	1/2
AT4G16750	AT4G25710	1/1
AT1G31140	AT4G25710	1/1
AT3G02940	AT4G25710	2/2
AT3G08500	AT4G25710	1/1
AT5G52020	AT4G25710	1/2
AT1G71450	AT4G25710	1/1
AT4G26030	AT4G25710	1/1
AT5G11260	AT4G25710	1/1
AT1G51140	AT4G25710	1/1
AT4G01680	AT4G25710	1/1
AT1G34670	AT4G25710	1/2
AT2G36010	AT4G25710	1/2
AT2G43000	AT4G25710	1/1
AT4G36780	AT4G25710	1/1
AT5G23930	AT4G25710	1/1
AT1G78700	AT4G25710	1/1
AT5G45300	AT4G25710	1/2
AT4G05100	AT4G25710	1/1
AT1G79180	AT4G25710	1/1
AT1G18330	AT4G26240	1/2
AT2G42200	AT4G26240	1/2
AT1G79580	AT4G26240	1/2
AT5G17300	AT4G26240	2/2
AT1G27730	AT4G26240	2/2
AT3G22830	AT4G26240	1/2
AT4G31800	AT4G26240	1/2
AT1G01060	AT4G26240	1/2
AT1G19000	AT4G26240	1/2
AT5G56840	AT4G26240	2/2
AT3G09600	AT4G26240	1/2
AT1G06280	AT4G26240	2/2
AT1G49010	AT4G26240	2/2
AT2G45410	AT4G26240	1/2
AT2G20110	AT4G26240	1/2
AT4G01280	AT4G26240	1/2
AT4G14770	AT4G26240	1/2
AT5G61620	AT4G26240	2/2
AT5G58900	AT4G26240	1/1
AT4G36160	AT4G26240	1/2
AT2G18380	AT4G26240	1/1
AT5G47390	AT4G26240	1/1
AT1G34180	AT4G26240	1/1
AT5G08520	AT4G26240	1/2
AT3G01530	AT4G26240	1/1
AT1G68320	AT4G26240	1/1
AT3G60580	AT4G26240	1/1
AT1G51140	AT4G26240	1/1
AT3G61150	AT4G26240	1/1
AT1G01720	AT4G26240	1/1
AT1G51220	AT4G26240	1/2
AT2G02070	AT4G26240	1/1
AT1G25340	AT4G26240	1/1
AT5G04390	AT4G26240	1/1
AT1G74840	AT4G26240	1/1
AT1G35460	AT4G26240	1/1
AT5G05790	AT4G26240	1/1
AT1G28470	AT4G28210	2/2
AT1G79580	AT4G28210	2/2
AT3G22830	AT4G28210	1/2
AT1G33240	AT4G28210	1/2
AT2G46770	AT4G28210	1/2
AT4G10350	AT4G28210	2/2
AT5G13180	AT4G28210	2/2
AT4G28500	AT4G28210	1/2
AT3G18400	AT4G28210	2/2
AT3G10480	AT4G28210	2/2
AT2G33710	AT4G28210	1/2
AT1G12260	AT4G28210	2/2
AT4G21080	AT4G28210	1/1
AT3G04060	AT4G28210	1/2
AT3G03200	AT4G28210	1/2
AT2G01930	AT4G28210	1/2
AT4G21040	AT4G28210	1/1
AT4G36160	AT4G28210	1/2
AT3G15210	AT4G28210	1/2
AT5G19790	AT4G28210	1/2
AT2G02820	AT4G28210	1/2
AT5G62380	AT4G28210	1/2
AT1G53170	AT4G28210	1/2
AT1G34180	AT4G28210	1/1
AT1G71450	AT4G28210	1/1
AT5G64750	AT4G28210	1/2
AT1G68320	AT4G28210	1/1
AT5G39610	AT4G28210	1/2
AT1G01720	AT4G28210	1/1
AT4G34410	AT4G28210	1/2
AT1G54330	AT4G28210	1/1
AT1G28370	AT4G28210	1/1
AT1G53910	AT4G28210	1/1
AT1G76420	AT4G28210	1/1
AT3G15170	AT4G28210	1/1
AT3G11280	AT4G28210	1/1
AT4G36740	AT4G30750	1/2
AT5G65310	AT4G30750	1/2
AT2G42200	AT4G30750	1/2
AT3G50260	AT4G30750	1/2
AT1G33240	AT4G30750	2/2
AT5G51990	AT4G30750	1/2
AT3G12250	AT4G30750	2/2
AT3G09600	AT4G30750	1/2
AT1G06280	AT4G30750	2/2
AT1G49010	AT4G30750	1/2
AT2G31230	AT4G30750	2/2
AT1G77200	AT4G30750	1/2
AT1G08320	AT4G30750	1/2
AT3G20310	AT4G30750	1/2
AT1G06850	AT4G30750	2/2
AT1G69780	AT4G30750	1/1
AT5G58900	AT4G30750	1/1
AT4G21040	AT4G30750	1/1
AT1G76890	AT4G30750	2/2
AT5G19790	AT4G30750	1/2
AT2G18380	AT4G30750	1/1
AT5G51190	AT4G30750	1/2
AT2G40620	AT4G30750	2/2
AT4G16750	AT4G30750	1/1
AT3G02940	AT4G30750	1/2
AT5G65210	AT4G30750	1/2
AT3G16280	AT4G30750	1/1
AT5G10030	AT4G30750	1/2
AT5G47660	AT4G30750	1/1
AT2G22430	AT4G30750	1/1
AT2G44840	AT4G30750	1/1
AT1G02250	AT4G30750	1/1
AT1G53910	AT4G30750	1/1
AT5G06839	AT4G30750	1/2
AT5G23930	AT4G30750	1/1
AT1G76880	AT4G30750	1/1
AT3G24120	AT4G34332	1/2
AT4G36740	AT4G34332	1/2
AT5G65310	AT4G34332	2/2
AT1G69010	AT4G34332	1/2
AT1G27730	AT4G34332	2/2
AT4G31800	AT4G34332	1/2
AT5G51990	AT4G34332	2/2
AT1G06280	AT4G34332	1/2
AT2G31230	AT4G34332	2/2
AT2G45410	AT4G34332	1/2
AT2G45420	AT4G34332	1/2
AT5G61620	AT4G34332	1/2
AT2G33710	AT4G34332	1/2
AT3G20310	AT4G34332	1/2
AT4G25490	AT4G34332	1/2
AT1G74650	AT4G34332	1/1
AT3G15210	AT4G34332	1/2
AT2G02820	AT4G34332	2/2
AT2G38340	AT4G34332	1/2
AT5G06950	AT4G34332	1/2
AT5G51190	AT4G34332	1/2
AT1G53170	AT4G34332	1/2
AT4G25470	AT4G34332	2/2
AT4G25480	AT4G34332	1/2
AT5G07310	AT4G34332	1/2
AT5G64750	AT4G34332	1/2
AT1G74480	AT4G34332	1/2
AT1G28160	AT4G34332	1/2
AT2G44840	AT4G34332	1/1
AT1G51220	AT4G34332	1/2
AT1G69180	AT4G34332	1/1
AT4G34410	AT4G34332	1/2
AT2G42430	AT4G34332	1/2
AT1G52150	AT4G34332	1/1
AT2G02450	AT4G34332	1/1
AT2G30340	AT4G34332	1/1
AT1G12610	AT4G34332	1/1
AT1G18330	AT4G36810	2/2
AT2G28810	AT4G36810	2/2
AT5G02460	AT4G36810	1/2
AT5G66940	AT4G36810	2/2
AT5G17300	AT4G36810	2/2
AT1G49480	AT4G36810	2/2
AT3G45610	AT4G36810	2/2
AT1G64620	AT4G36810	2/2
AT1G01060	AT4G36810	2/2
AT5G60850	AT4G36810	1/2
AT5G56840	AT4G36810	1/2
AT3G09600	AT4G36810	2/2
AT3G52440	AT4G36810	1/2
AT2G37590	AT4G36810	1/2
AT4G01280	AT4G36810	2/2
AT5G62940	AT4G36810	1/1
AT3G55370	AT4G36810	2/2
AT3G10113	AT4G36810	1/1
AT5G61620	AT4G36810	2/2
AT3G50410	AT4G36810	1/1
AT5G63260	AT4G36810	1/2
AT4G21080	AT4G36810	1/1
AT5G52660	AT4G36810	2/2
AT4G21040	AT4G36810	1/1
AT4G01540	AT4G36810	1/2
AT2G18380	AT4G36810	1/1
AT5G47390	AT4G36810	1/1
AT3G21890	AT4G36810	1/1
AT5G02840	AT4G36810	1/2
AT3G60530	AT4G36810	1/1
AT3G24120	AT4G38580	2/2
AT1G18330	AT4G38580	2/2
AT2G28810	AT4G38580	2/2
AT5G02460	AT4G38580	2/2
AT5G66940	AT4G38580	2/2
AT5G17300	AT4G38580	2/2
AT1G27730	AT4G38580	2/2
AT1G49480	AT4G38580	2/2
AT1G01060	AT4G38580	2/2
AT5G60850	AT4G38580	2/2
AT5G56840	AT4G38580	1/2
AT3G09600	AT4G38580	2/2
AT2G37590	AT4G38580	1/2
AT2G46590	AT4G38580	1/2
AT4G01280	AT4G38580	2/2
AT3G50060	AT4G38580	1/1
AT3G47500	AT4G38580	2/2
AT2G22540	AT4G38580	1/2
AT3G10113	AT4G38580	1/1
AT3G50410	AT4G38580	1/1
AT4G21080	AT4G38580	1/1
AT5G52660	AT4G38580	2/2
AT1G31140	AT4G38580	1/1
AT5G67300	AT4G38580	1/1
AT3G60580	AT4G38580	1/1
AT1G29160	AT4G38580	1/1
AT5G02840	AT4G38580	1/2
AT3G18990	AT4G38580	1/1
AT5G13790	AT4G38580	1/1
AT3G24120	AT5G06450	2/2
AT1G28470	AT5G06450	2/2
AT5G45580	AT5G06450	2/2
AT1G79580	AT5G06450	1/2
AT1G27730	AT5G06450	1/2
AT3G22830	AT5G06450	1/2
AT4G31800	AT5G06450	2/2
AT5G13080	AT5G06450	1/2
AT2G23320	AT5G06450	1/2
AT1G49010	AT5G06450	1/2
AT2G46770	AT5G06450	2/2
AT4G10350	AT5G06450	1/2
AT3G04030	AT5G06450	1/2
AT2G01060	AT5G06450	1/2
AT5G46350	AT5G06450	1/2
AT2G30250	AT5G06450	1/2
AT4G28500	AT5G06450	1/2
AT5G41570	AT5G06450	2/2
AT4G37180	AT5G06450	1/2
AT1G12260	AT5G06450	2/2
